Primary Key,Title,Opening,OpenTheater,MaxTheater,Gross,OpeningvsGrossPercent,OpeningTheaterVsMax,ReleaseSeason,Budget,Distributor,Brand,Franchise,MPAA,Runtime,Genres
490,Resident Evil: The Final Chapter,13601682,3104,3104,26830068,0.506956673,1,Winter,40000000,"Screen Gems
        
    ",(None),Resident Evil,R,107,"Action
 
 Adventure
 
 Horror
 
 Sci-Fi
 
 Thriller"
491,The House,8724795,3134,3134,25584504,0.341018728,1,Summer,40000000,"Warner Bros.
        
    ",(None),(None),R,88,"Comedy
 
 Crime"
492,All the Money in the World,5584684,2074,2123,25113707,0.222375932,0.976919454,Holiday,50000000,"TriStar Pictures
        
    ",(None),(None),R,132,"Biography
 
 Crime
 
 Drama
 
 Mystery
 
 Thriller"
493,Gifted,4844770,1146,2215,24801212,0.195344082,0.51738149,Spring,7000000,"Fox Searchlight Pictures
        
    ",(None),(None),PG-13,101,Drama
494,Downsizing,4954287,2668,2668,24449754,0.202631364,1,Holiday,68000000,"Paramount Pictures
        
    ",(None),(None),R,135,"Drama
 
 Fantasy
 
 Sci-Fi"
495,The Bye Bye Man,13501349,2220,2220,22395806,0.602851668,1,Winter,7400000,"STX Entertainment
        
    ",(None),(None),PG-13,96,"Drama
 
 Fantasy
 
 Horror
 
 Mystery
 
 Thriller"
496,Victoria & Abdul,6411550,732,1060,22245070,0.288223413,0.690566038,Fall,21000000,"Focus Features
        
    ",(None),(None),PG-13,111,"Biography
 
 Drama
 
 History"
497,Rough Night,8004283,3162,3162,22105643,0.362092295,1,Summer,20000000,"Sony Pictures Entertainment (SPE)
        
    ",(None),(None),R,101,Comedy
498,My Little Pony: The Movie,8885899,2528,2528,21885107,0.406024928,1,Fall,6500000,"Lionsgate
        
    ",Hasbro,(None),PG,99,"Adventure
 
 Animation
 
 Comedy
 
 Drama
 
 Family
 
 Fantasy
 
 Musical"
499,Leap!,4730038,2575,2705,21858070,0.216397788,0.95194085,Summer,30000000,"The Weinstein Company
        
    ",Re-Release,(None),PG,89,"Adventure
 
 Animation
 
 Comedy
 
 Family
 
 Music"
500,Phantom Thread,4919080,896,1186,21198205,0.232051723,0.755480607,Holiday,35000000,"Focus Features
        
    ",(None),(None),R,130,"Drama
 
 Romance"
501,The Disaster Artist,8698356,840,1010,21120616,0.411841965,0.831683168,Holiday,10000000,"A24
        
    ",Vertigo Entertainment,(None),R,104,"Biography
 
 Comedy
 
 Drama"
502,Sleepless,8344128,1803,1803,20783704,0.40147454,1,Winter,30000000,"Open Road Films (II)
        
    ",Vertigo Entertainment,(None),R,95,"Action
 
 Crime
 
 Thriller"
503,Diary of a Wimpy Kid: The Long Haul,7126084,3157,3174,20738724,0.343612461,0.994643982,Summer,22000000,"Twentieth Century Fox
        
    ",(None),Diary of a Wimpy Kid,PG,91,"Adventure
 
 Comedy
 
 Family"
504,The Circle,9034148,3163,3163,20497844,0.440736499,1,Spring,18000000,"STX Entertainment
        
    ",(None),(None),PG-13,110,"Drama
 
 Sci-Fi
 
 Thriller"
506,CHIPS,7722802,2464,2464,18600152,0.415201016,1,Spring,25000000,"Warner Bros.
        
    ",(None),(None),R,100,"Action
 
 Comedy
 
 Crime"
507,Only the Brave,6002665,2577,2577,18343983,0.327228007,1,Fall,38000000,"Sony Pictures Entertainment (SPE)
        
    ",(None),(None),PG-13,134,"Action
 
 Biography
 
 Drama"
508,Call Me by Your Name,2313165,815,914,18095701,0.127829533,0.891684902,Holiday,35000000,"Sony Pictures Classics
        
    ",(None),(None),R,132,"Drama
 
 Romance"
509,Mother!,7534673,2368,2368,17800004,0.423296141,1,Fall,30000000,"Paramount Pictures
        
    ",(None),(None),R,121,"Drama
 
 Horror
 
 Mystery"
510,The Zookeeper's Wife,3288835,541,1057,17571660,0.187167006,0.511825922,Spring,20000000,"Focus Features
        
    ",(None),(None),PG-13,127,"Biography
 
 Drama
 
 History
 
 War"
511,Father Figures,3287451,2902,2902,17501244,0.18784099,1,Holiday,25000000,"Warner Bros.
        
    ",(None),(None),R,113,"Comedy
 
 Drama"
512,The Glass Castle,4678548,1461,1461,17273059,0.270858103,1,Summer,9000000,"Lionsgate
        
    ",(None),(None),PG-13,127,"Biography
 
 Drama"
513,Flatliners,6574326,2552,2552,16883115,0.38940243,1,Fall,19000000,"Sony Pictures Entertainment (SPE)
        
    ",(None),(None),PG-13,109,"Drama
 
 Horror
 
 Mystery
 
 Sci-Fi
 
 Thriller"
514,Detroit,9898982,3007,3007,16790139,0.589571176,1,Summer,34000000,"Annapurna Pictures
        
    ",(None),(None),R,143,"Crime
 
 Drama
 
 History
 
 Thriller"
515,The Case for Christ,3967885,1174,1386,14682684,0.270242484,0.847041847,Spring,3000000,"Pure Flix Entertainment
        
    ",(None),(None),PG,112,"Biography
 
 Drama"
516,Wish Upon,5467084,2250,2250,14301505,0.382273334,1,Summer,12000000,"Broad Green Pictures
        
    ",(None),(None),PG-13,90,"Drama
 
 Fantasy
 
 Horror
 
 Mystery
 
 Thriller"
517,It Comes at Night,5988370,2533,2533,13985117,0.428195917,1,Summer,5000000,"A24
        
    ",(None),(None),R,91,"Drama
 
 Horror
 
 Mystery
 
 Sci-Fi
 
 Thriller"
518,Born in China,4790367,1508,1508,13873211,0.345296197,1,Spring,10000000,"Walt Disney Studios Motion Pictures
        
    ",(None),(None),G,79,Documentary
519,Megan Leavey,3810867,1956,1956,13406883,0.284247054,1,Summer,,"Bleecker Street Media
        
    ",(None),(None),PG-13,116,"Action
 
 Biography
 
 Drama
 
 War"
520,The Founder,3404102,1115,1115,12786053,0.266235562,1,Winter,25000000,"The Weinstein Company
        
    ",(None),(None),PG-13,115,"Biography
 
 Drama"
521,Battle of the Sexes,4601058,1213,1822,12638526,0.364050206,0.665751921,Fall,25000000,"Fox Searchlight Pictures
        
    ",(None),(None),PG-13,121,"Biography
 
 Comedy
 
 Drama
 
 History
 
 Sport"
522,Before I Fall,4690214,2346,2346,12241122,0.383152296,1,Spring,5000000,"Open Road Films (II)
        
    ",(None),(None),PG-13,98,"Drama
 
 Fantasy
 
 Mystery"
523,"Roman J. Israel, Esq.",5814046,1669,1669,11962778,0.48601136,1,Holiday,22000000,"Sony Pictures Entertainment (SPE)
        
    ",(None),(None),PG-13,122,"Crime
 
 Drama
 
 Thriller"
524,Unforgettable,4785431,2417,2417,11368012,0.420955836,1,Spring,12000000,"Warner Bros.
        
    ",(None),(None),R,100,"Drama
 
 Thriller"
525,The Beguiled,5029886,674,941,10709995,0.469644103,0.716259299,Summer,10000000,"Focus Features
        
    ",(None),(None),R,93,"Drama
 
 Thriller
 
 War"
526,The Belko Experiment,4137230,1341,1341,10166820,0.406934518,1,Spring,5000000,"BH Tilt
        
    ",(None),(None),R,89,"Horror
 
 Thriller"
527,Marshall,3000805,821,821,10051659,0.298538281,1,Fall,12000000,"Open Road Films (II)
        
    ",(None),(None),PG-13,118,"Biography
 
 Crime
 
 Drama
 
 History"
528,Thank You for Your Service,3817700,2054,2083,9536300,0.400333463,0.986077772,Fall,20000000,"Universal Pictures
        
    ",(None),(None),R,109,"Biography
 
 Drama
 
 War"
529,Rock Dog,3704749,2077,2077,9420546,0.393262662,1,Winter,60000000,"Lionsgate
        
    ",(None),(None),PG,90,"Adventure
 
 Animation
 
 Comedy
 
 Family
 
 Music"
530,The Lost City of Z,2957073,614,866,8580410,0.344630734,0.709006928,Spring,30000000,"Bleecker Street Media
        
    ",Amazon Studios,(None),PG-13,141,"Adventure
 
 Biography
 
 Drama
 
 History"
531,The Promise,4095718,2251,2251,8224288,0.498002745,1,Spring,90000000,"Open Road Films (II)
        
    ",(None),(None),PG-13,133,"Action
 
 Adventure
 
 Drama
 
 History
 
 War"
532,A Cure for Wellness,4356941,2704,2704,8106986,0.537430433,1,Winter,40000000,"Twentieth Century Fox
        
    ",(None),(None),R,146,"Drama
 
 Fantasy
 
 Horror
 
 Mystery
 
 Sci-Fi
 
 Thriller"
533,The Space Between Us,3775596,2812,2812,7885294,0.478814867,1,Winter,30000000,"STX Entertainment
        
    ",(None),(None),PG-13,120,"Drama
 
 Romance
 
 Sci-Fi"
534,Let There Be Light,2432538,642,774,7233471,0.336289176,0.829457364,Fall,3000000,"Atlas Distribution Company
        
    ",(None),(None),PG-13,100,Drama
535,Gold,3471316,2166,2166,7227038,0.480323474,1,Winter,20000000,"The Weinstein Company
        
    ",(None),(None),R,120,"Crime
 
 Drama"
537,Beatriz at Dinner,1806856,683,683,7115854,0.253919768,1,Summer,,"Roadside Attractions
        
    ",(None),(None),R,82,"Comedy
 
 Drama"
538,Birth of the Dragon,2702430,1618,1633,6901965,0.391545017,0.990814452,Summer,31000000,"BH Tilt
        
    ",Blumhouse Productions,(None),PG-13,95,"Action
 
 Biography
 
 Drama"
540,The Snowman,3372565,1812,1815,6700035,0.503365281,0.998347107,Fall,35000000,"Universal Pictures
        
    ",(None),(None),R,119,"Crime
 
 Drama
 
 Thriller"
541,Same Kind of Different as Me,2591985,1362,1362,6423605,0.4035094,1,Fall,6500000,"Pure Flix Entertainment
        
    ",(None),(None),PG-13,119,"Biography
 
 Drama"
544,Just Getting Started,3201459,2161,2161,6069605,0.527457553,1,Holiday,22000000,"Broad Green Pictures
        
    ",(None),(None),PG-13,91,"Comedy
 
 Crime"
546,All Saints,1514278,846,846,5802208,0.26098306,1,Summer,2000000,"Affirm Films
        
    ",(None),(None),PG,108,Drama
547,Suburbicon,2840246,2046,2046,5775178,0.491802331,1,Fall,25000000,"Paramount Pictures
        
    ",(None),(None),R,105,"Comedy
 
 Crime
 
 Drama
 
 Thriller"
548,The Man Who Invented Christmas,1357129,626,720,5676486,0.239079071,0.869444444,Holiday,,"Bleecker Street Media
        
    ",Christmas,(None),PG,104,"Biography
 
 Comedy
 
 Drama"
552,The Book of Henry,1424540,579,650,4504974,0.316214922,0.890769231,Summer,10000000,"Focus Features
        
    ",(None),(None),PG-13,105,"Crime
 
 Drama
 
 Thriller"
553,Stronger,1611040,573,645,4211129,0.38256724,0.888372093,Fall,30000000,"Roadside Attractions
        
    ",(None),(None),R,119,"Biography
 
 Drama"
558,Friend Request,2002863,2573,2573,3759078,0.532806981,1,Fall,9900000,"Entertainment Studios Motion Pictures
        
    ",(None),(None),R,92,"Horror
 
 Mystery
 
 Thriller"
559,Table 19,1597928,868,868,3614896,0.442039826,1,Spring,5000000,"Fox Searchlight Pictures
        
    ",(None),(None),PG-13,87,"Comedy
 
 Drama
 
 Romance"
561,Phoenix Forgotten,1816499,1626,1626,3600146,0.504562593,1,Spring,2800000,"Cinelou Films
        
    ",(None),(None),PG-13,87,"Horror
 
 Mystery
 
 Sci-Fi
 
 Thriller"
566,Close Encounters of the Third Kind,1767758,901,901,3100479,0.570156418,1,Fall,20000000,"Sony Pictures Entertainment (SPE)
        
    ",Re-Release,(None),Not Rated,138,"Drama
 
 Sci-Fi"
568,Ingrid Goes West,1170395,647,647,3024308,0.386995967,1,Summer,6000000,"Neon
        
    ",(None),(None),R,98,"Comedy
 
 Drama"
575,A Question of Faith,1025489,661,661,2587072,0.396389818,1,Fall,,"Pure Flix Entertainment
        
    ",(None),(None),PG,104,Drama
601,Rogue One: A Star Wars Story,155081681,4157,4157,532177324,0.291409788,1,Holiday,200000000,"Walt Disney Studios Motion Pictures
        
    ",(None),Star Wars,PG-13,133,"Action
 
 Adventure
 
 Sci-Fi"
602,Finding Dory,135060273,4305,4305,486295561,0.277732893,1,Summer,19000000,"Walt Disney Studios Motion Pictures
        
    ",Pixar,(None),PG,97,"Adventure
 
 Animation
 
 Comedy
 
 Family"
603,Captain America: Civil War,179139142,4226,4226,408084349,0.438975772,1,Summer,250000000,"Walt Disney Studios Motion Pictures
        
    ",Marvel Comics,Marvel Cinematic Universe,PG-13,147,"Action
 
 Adventure
 
 Sci-Fi"
604,The Secret Life of Pets,104352905,4370,4381,368384330,0.283271835,0.997489158,Summer,75000000,"Universal Pictures
        
    ",Illumination Entertainment,(None),PG,87,"Adventure
 
 Animation
 
 Comedy
 
 Family"
605,The Jungle Book,103261464,4028,4144,364001123,0.283684465,0.972007722,Spring,175000000,"Walt Disney Studios Motion Pictures
        
    ",(None),Disney Live Action Reimaginings,PG,106,"Adventure
 
 Drama
 
 Family
 
 Fantasy"
606,Deadpool,132434639,3558,3856,363070709,0.364762664,0.922717842,Winter,58000000,"Twentieth Century Fox
        
    ",Marvel Comics,(None),R,108,"Action
 
 Adventure
 
 Comedy
 
 Sci-Fi"
607,Zootopia,75063401,3827,3959,341268248,0.219954248,0.966658247,Spring,150000000,"Walt Disney Studios Motion Pictures
        
    ",Walt Disney Animation Studios,(None),PG,108,"Adventure
 
 Animation
 
 Comedy
 
 Crime
 
 Family
 
 Mystery"
608,Batman v Superman: Dawn of Justice,166007347,4242,4256,330360194,0.502504085,0.996710526,Spring,250000000,"Warner Bros.
        
    ",DC Comics,DC Extended Universe,PG-13,152,"Action
 
 Adventure
 
 Sci-Fi"
609,Suicide Squad,133682248,4255,4255,325100054,0.411203401,1,Summer,175000000,"Warner Bros.
        
    ",DC Comics,DC Extended Universe,PG-13,123,"Action
 
 Adventure
 
 Fantasy
 
 Sci-Fi"
610,Sing,35258145,4022,4029,270395425,0.130394754,0.998262596,Holiday,75000000,"Universal Pictures
        
    ",Illumination Entertainment,Sing,PG,108,"Animation
 
 Comedy
 
 Family
 
 Musical"
611,Moana,56631401,3875,3875,248757044,0.227657477,1,Holiday,175000000,"Walt Disney Studios Motion Pictures
        
    ",Walt Disney Animation Studios,(None),PG,107,"Adventure
 
 Animation
 
 Comedy
 
 Family
 
 Fantasy
 
 Musical"
612,Fantastic Beasts and Where to Find Them,74403387,4144,4144,234037575,0.317912143,1,Holiday,180000000,"Warner Bros.
        
    ",Harry Potter,Fantastic Beasts,PG-13,132,"Adventure
 
 Family
 
 Fantasy"
613,Doctor Strange,85058311,3882,3882,232641920,0.365619021,1,Holiday,165000000,"Walt Disney Studios Motion Pictures
        
    ",Marvel Comics,Marvel Cinematic Universe,PG-13,115,"Action
 
 Adventure
 
 Fantasy
 
 Sci-Fi"
614,Hidden Figures,31428922,2471,3416,169607287,0.185304078,0.723360656,Holiday,25000000,"Twentieth Century Fox
        
    ",(None),(None),PG,127,"Biography
 
 Drama
 
 History"
615,Jason Bourne,59215365,4026,4039,162434410,0.36454939,0.996781382,Summer,120000000,"Universal Pictures
        
    ",(None),Jason Bourne,PG-13,123,"Action
 
 Thriller"
616,Star Trek Beyond,59253211,3928,3928,158848340,0.373017502,1,Summer,185000000,"Paramount Pictures
        
    ",Star Trek,Star Trek,PG-13,122,"Action
 
 Adventure
 
 Sci-Fi
 
 Thriller"
617,X-Men: Apocalypse,65769562,4150,4153,155442489,0.423111869,0.999277631,Summer,178000000,"Twentieth Century Fox
        
    ",Marvel Comics,X-Men,PG-13,144,"Action
 
 Adventure
 
 Sci-Fi"
618,Trolls,46581142,4060,4066,153707064,0.303051407,0.998524348,Holiday,125000000,"Twentieth Century Fox
        
    ",DreamWorks Animation,(None),PG,92,"Adventure
 
 Animation
 
 Comedy
 
 Family
 
 Fantasy
 
 Musical
 
 Romance"
619,La La Land,16832488,741,3236,151101803,0.111398327,0.228986403,Holiday,30000000,"Lionsgate
        
    ",(None),(None),PG-13,128,"Comedy
 
 Drama
 
 Music
 
 Musical
 
 Romance"
620,Kung Fu Panda 3,41282042,3955,3987,143528619,0.287622373,0.991973915,Winter,145000000,"Twentieth Century Fox
        
    ",DreamWorks Animation,Kung Fu Panda,PG,95,"Action
 
 Adventure
 
 Animation
 
 Comedy
 
 Family
 
 Fantasy"
621,Ghostbusters (2016),46018755,3963,3963,128350574,0.358539534,1,Summer,144000000,"Sony Pictures Entertainment (SPE)
        
    ",(None),Ghostbusters,PG-13,117,"Action
 
 Comedy
 
 Fantasy
 
 Sci-Fi"
622,Central Intelligence,35535250,3508,3508,127440871,0.278837156,1,Summer,50000000,"Warner Bros.
        
    ",(None),(None),PG-13,107,"Action
 
 Comedy
 
 Crime"
623,The Legend of Tarzan,38527856,3561,3591,126643061,0.30422398,0.991645781,Summer,180000000,"Warner Bros.
        
    ",(None),(None),PG-13,110,"Action
 
 Adventure
 
 Drama
 
 Fantasy
 
 Romance"
624,Sully,35028301,3525,3955,125070033,0.280069495,0.891276865,Fall,60000000,"Warner Bros.
        
    ",Clint Eastwood,(None),PG-13,96,"Biography
 
 Drama"
625,Bad Moms,23817340,3215,3215,113257297,0.210294088,1,Summer,20000000,"STX Entertainment
        
    ",(None),(None),R,100,Comedy
626,The Angry Birds Movie,38155177,3932,3932,107509366,0.354900958,1,Summer,73000000,"Sony Pictures Entertainment (SPE)
        
    ",Sony Pictures Animation,(None),PG,97,"Action
 
 Adventure
 
 Animation
 
 Comedy
 
 Family"
627,Independence Day: Resurgence,41039944,4130,4130,103144286,0.397888682,1,Summer,165000000,"Twentieth Century Fox
        
    ",(None),(None),PG-13,120,"Action
 
 Adventure
 
 Sci-Fi"
628,The Conjuring 2,40406314,3343,3356,102470008,0.394323322,0.996126341,Summer,40000000,"Warner Bros.
        
    ",(None),(None),R,134,"Horror
 
 Mystery
 
 Thriller"
629,Arrival,24074047,2317,3115,100546139,0.239432834,0.743820225,Holiday,47000000,"Paramount Pictures
        
    ",(None),(None),PG-13,116,"Drama
 
 Sci-Fi"
630,Passengers,14869736,3478,3478,100014699,0.148675506,1,Holiday,110000000,"Sony Pictures Entertainment (SPE)
        
    ",(None),(None),PG-13,116,"Drama
 
 Romance
 
 Sci-Fi
 
 Thriller"
631,Sausage Party,34263534,3103,3135,97685686,0.350752863,0.989792663,Summer,19000000,"Sony Pictures Entertainment (SPE)
        
    ",(None),(None),R,89,"Adventure
 
 Animation
 
 Comedy
 
 Fantasy"
632,The Magnificent Seven,34703397,3674,3696,93432655,0.371426853,0.994047619,Fall,90000000,"Sony Pictures Entertainment (SPE)
        
    ",(None),(None),PG-13,132,"Action
 
 Adventure
 
 Western"
633,Ride Along 2,35243095,3175,3192,91221830,0.386344968,0.994674185,Winter,40000000,"Universal Pictures
        
    ",(None),(None),PG-13,102,"Action
 
 Comedy
 
 Crime"
634,Don't Breathe,26411706,3051,3384,89217875,0.296036035,0.901595745,Summer,9900000,"Screen Gems
        
    ",(None),(None),R,88,"Crime
 
 Horror
 
 Thriller"
635,Miss Peregrine's Home for Peculiar Children,28871140,3522,3835,87242834,0.330928498,0.918383312,Fall,110000000,"Twentieth Century Fox
        
    ",(None),(None),PG-13,127,"Adventure
 
 Drama
 
 Family
 
 Fantasy
 
 Thriller"
636,The Accountant,24710273,3332,3402,86260045,0.286462556,0.979423868,Fall,44000000,"Warner Bros.
        
    ",(None),(None),R,128,"Action
 
 Thriller"
637,Teenage Mutant Ninja Turtles: Out of the Shadows,35316382,4071,4071,82051601,0.430416733,1,Summer,135000000,"Paramount Pictures
        
    ",Nickelodeon,TMNT,PG-13,112,"Action
 
 Adventure
 
 Comedy
 
 Sci-Fi"
638,The Purge: Election Year,31515110,2796,2821,79213375,0.397850868,0.991137894,Summer,10000000,"Universal Pictures
        
    ",Blumhouse Productions,Purge,R,108,"Action
 
 Horror
 
 Sci-Fi
 
 Thriller"
639,Alice Through the Looking Glass,26858726,3763,3763,77041381,0.348627266,1,Summer,170000000,"Walt Disney Studios Motion Pictures
        
    ",(None),Disney Live Action Reimaginings,PG,113,"Adventure
 
 Family
 
 Fantasy
 
 Mystery"
640,Pete's Dragon,21514095,3702,3702,76233151,0.282214427,1,Summer,65000000,"Walt Disney Studios Motion Pictures
        
    ",(None),Disney Live Action Reimaginings,PG,102,"Action
 
 Adventure
 
 Comedy
 
 Drama
 
 Family
 
 Fantasy"
641,The Girl on the Train,24536265,3144,3241,75395035,0.325436085,0.970070966,Fall,45000000,"Universal Pictures
        
    ",(None),(None),R,112,"Crime
 
 Drama
 
 Mystery
 
 Thriller"
642,Boo! A Madea Halloween,28501448,2260,2299,73206343,0.389330307,0.983036103,Fall,20000000,"Lionsgate
        
    ",Tyler Perry,Madea,PG-13,103,"Comedy
 
 Drama
 
 Horror"
643,Storks,21311407,3922,3922,72679278,0.293225354,1,Fall,70000000,"Warner Bros.
        
    ",Warner Animation Group,(None),PG,87,"Adventure
 
 Animation
 
 Comedy
 
 Drama
 
 Family
 
 Fantasy"
644,10 Cloverfield Lane,24727437,3391,3427,72082998,0.343041184,0.989495185,Spring,1500000,"Paramount Pictures
        
    ",Bad Robot,Cloverfield,PG-13,103,"Action
 
 Drama
 
 Horror
 
 Sci-Fi
 
 Thriller"
645,Lights Out,21688103,2818,2835,67268835,0.322409374,0.994003527,Summer,4900000,"Warner Bros.
        
    ",(None),(None),PG-13,81,"Horror
 
 Mystery"
646,Hacksaw Ridge,15190758,2886,2971,67209615,0.226020607,0.971390104,Holiday,40000000,"Lionsgate
        
    ",(None),(None),R,139,"Biography
 
 Drama
 
 History
 
 War"
647,Allegiant,29027348,3740,3740,66184051,0.438585242,1,Spring,140000000,"Lionsgate
        
    ",(None),Divergent,PG-13,120,"Action
 
 Adventure
 
 Mystery
 
 Sci-Fi
 
 Thriller"
648,Now You See Me 2,22383146,3232,3232,65075540,0.343956362,1,Summer,120000000,"Lionsgate
        
    ",(None),Now You See Me,PG-13,129,"Action
 
 Adventure
 
 Comedy
 
 Crime
 
 Mystery
 
 Thriller"
649,Ice Age 5: Collision Course,21373064,3992,3997,64063008,0.333625671,0.998749062,Summer,105000000,"Twentieth Century Fox
        
    ",Blue Sky,Ice Age,PG,94,"Adventure
 
 Animation
 
 Comedy
 
 Family
 
 Sci-Fi"
650,The Boss,23586645,3480,3495,63285885,0.372699931,0.995708155,Spring,29000000,"Universal Pictures
        
    ",(None),(None),R,99,Comedy
651,London Has Fallen,21635601,3490,3492,62524260,0.346035299,0.999427262,Spring,60000000,"Focus Features
        
    ",(None),(None),R,99,"Action
 
 Thriller"
652,Miracles from Heaven,14812393,3047,3155,61705123,0.240051268,0.965768621,Spring,13000000,"TriStar Pictures
        
    ",(None),(None),PG,109,"Biography
 
 Drama
 
 Family"
653,Deepwater Horizon,20223544,3259,3403,61433527,0.329193927,0.957684396,Fall,110000000,"Lionsgate
        
    ",(None),(None),PG-13,107,"Action
 
 Drama
 
 History
 
 Thriller"
654,Why Him?,11002986,2917,3008,60323786,0.182398797,0.96974734,Holiday,38000000,"Twentieth Century Fox
        
    ",(None),(None),R,111,Comedy
655,My Big Fat Greek Wedding 2,17861950,3133,3179,59689605,0.299247247,0.985530041,Spring,18000000,"Universal Pictures
        
    ",(None),(None),PG-13,94,"Comedy
 
 Romance"
656,Jack Reacher: Never Go Back,22872490,3780,3780,58697076,0.389670007,1,Fall,60000000,"Paramount Pictures
        
    ",(None),Jack Reacher,PG-13,118,"Action
 
 Crime
 
 Drama
 
 Thriller"
657,Fences,19510629,2233,2368,57682904,0.338239368,0.942989865,Holiday,24000000,"Paramount Pictures
        
    ",(None),(None),PG-13,139,Drama
658,Me Before You,18723269,2704,2762,56245075,0.332887262,0.979000724,Summer,20000000,"Warner Bros.
        
    ",(None),(None),PG-13,106,"Drama
 
 Romance"
659,The BFG,18775350,3357,3392,55483770,0.338393552,0.989681604,Summer,140000000,"Walt Disney Studios Motion Pictures
        
    ",Spielberg,(None),PG,117,"Adventure
 
 Family
 
 Fantasy"
660,Neighbors 2: Sorority Rising,21760405,3384,3416,55455765,0.392392116,0.990632319,Summer,35000000,"Universal Pictures
        
    ",Seth Rogen,(None),R,92,Comedy
661,The Shallows,16800868,2962,2962,55124043,0.304782942,1,Summer,17000000,"Sony Pictures Entertainment (SPE)
        
    ",(None),(None),PG-13,86,"Action
 
 Drama
 
 Horror
 
 Thriller"
662,Office Christmas Party,16890204,3210,3210,54767494,0.308398336,1,Holiday,45000000,"Paramount Pictures
        
    ",Christmas,(None),R,105,Comedy
663,Assassin's Creed,10278225,2970,2996,54647948,0.188080713,0.991321762,Holiday,125000000,"Twentieth Century Fox
        
    ",(None),(None),PG-13,115,"Action
 
 Adventure
 
 Sci-Fi"
664,Barbershop: The Next Cut,20242415,2661,2676,54030051,0.374651044,0.994394619,Spring,20000000,"Warner Bros.
        
    ",(None),Barbershop,PG-13,111,"Comedy
 
 Drama"
665,13 Hours,16194738,2389,2917,52853219,0.306409681,0.818992115,Winter,50000000,"Paramount Pictures
        
    ",(None),(None),R,144,"Action
 
 Drama
 
 History
 
 Thriller
 
 War"
666,Lion,3249885,600,1802,51738905,0.062813177,0.332963374,Holiday,12000000,"The Weinstein Company
        
    ",(None),(None),PG-13,118,"Biography
 
 Drama"
667,The Huntsman: Winter's War,19445035,3791,3802,48390190,0.401838368,0.997106786,Spring,115000000,"Universal Pictures
        
    ",(None),(None),PG-13,114,"Action
 
 Adventure
 
 Drama
 
 Fantasy"
668,Kubo and the Two Strings,12608372,3260,3279,48023088,0.262548131,0.99420555,Summer,60000000,"Focus Features
        
    ",Laika,(None),PG,101,"Action
 
 Adventure
 
 Animation
 
 Family
 
 Fantasy"
669,Manchester by the Sea,6854811,1206,1213,47695371,0.143720677,0.994229184,Holiday,9000000,"Roadside Attractions
        
    ",Amazon Studios,(None),R,137,Drama
670,Warcraft,24166110,3400,3406,47365290,0.510207158,0.998238403,Summer,160000000,"Universal Pictures
        
    ",Legendary Pictures,(None),PG-13,123,"Action
 
 Adventure
 
 Fantasy"
671,How to Be Single,17878911,3343,3357,46843513,0.381673147,0.99582961,Winter,38000000,"Warner Bros.
        
    ",(None),(None),R,110,"Comedy
 
 Drama
 
 Romance"
672,Mike and Dave Need Wedding Dates,16628170,2982,3008,46009673,0.361405959,0.991356383,Summer,33000000,"Twentieth Century Fox
        
    ",(None),(None),R,98,"Comedy
 
 Romance"
673,War Dogs,14685305,3258,3258,43034523,0.341244749,1,Summer,50000000,"Warner Bros.
        
    ",(None),(None),R,114,"Biography
 
 Comedy
 
 Crime
 
 Drama
 
 War"
674,Almost Christmas,15134235,2376,2379,42158780,0.358981806,0.998738966,Holiday,17000000,"Universal Pictures
        
    ",Christmas,(None),PG-13,111,"Comedy
 
 Drama"
675,Money Monster,14788157,3104,3104,41012075,0.360580561,1,Summer,27000000,"TriStar Pictures
        
    ",(None),(None),R,98,"Crime
 
 Drama
 
 Mystery
 
 Thriller"
676,Allied,12701743,3160,3160,40098064,0.316766989,1,Holiday,85000000,"Paramount Pictures
        
    ",(None),(None),R,124,"Action
 
 Drama
 
 Romance
 
 Thriller
 
 War"
677,Nerve,9445456,2538,2538,38583626,0.244804778,1,Summer,19000000,"Lionsgate
        
    ",(None),(None),PG-13,96,"Action
 
 Adventure
 
 Crime
 
 Drama
 
 Thriller"
678,Risen,11801271,2915,2915,36880033,0.319990793,1,Winter,20000000,"Sony Pictures Entertainment (SPE)
        
    ",(None),(None),PG-13,107,"Action
 
 Drama
 
 History
 
 Mystery"
679,The Nice Guys,11203270,2865,2865,36261763,0.308955469,1,Summer,50000000,"Warner Bros.
        
    ",(None),(None),R,116,"Action
 
 Comedy
 
 Crime
 
 Thriller"
680,The Boy,10778392,2671,2671,35819556,0.300908029,1,Winter,10000000,"STX Entertainment
        
    ",Vertigo Entertainment,(None),PG-13,97,"Horror
 
 Mystery
 
 Thriller"
681,Dirty Grandpa,11111875,2912,2912,35593113,0.312191715,1,Winter,25000000,"Lionsgate
        
    ",(None),(None),R,102,Comedy
682,Ouija: Origin of Evil,14065500,3167,3168,35144505,0.400219039,0.999684343,Fall,9000000,"Universal Pictures
        
    ",Blumhouse Productions,(None),PG-13,99,"Drama
 
 Horror
 
 Mystery
 
 Thriller"
683,The 5th Wave,10326356,2908,2908,34916787,0.295741873,1,Winter,38000000,"Sony Pictures Entertainment (SPE)
        
    ",(None),(None),PG-13,112,"Action
 
 Adventure
 
 Sci-Fi
 
 Thriller"
