Primary Key,Title,Opening,OpenTheater,MaxTheater,Gross,OpeningvsGrossPercent,OpeningTheaterVsMax,ReleaseSeason,Budget,Distributor,Brand,Franchise,MPAA,Runtime,Genres
274,"Love, Simon",11756244,2402,2434,40826341,0.287957326,0.986852917,Spring,17000000,"Twentieth Century Fox
        
    ",(None),(None),PG-13,110,"Comedy
 
 Drama
 
 Romance"
275,Second Act,6489983,2607,2607,39282227,0.165214233,1,Holiday,16000000,"STX Entertainment
        
    ",(None),(None),PG-13,103,"Comedy
 
 Drama
 
 Romance"
276,The Commuter,13701452,2892,2892,36343858,0.376994979,1,Winter,30000000,"Lionsgate
        
    ",(None),(None),PG-13,104,"Action
 
 Mystery
 
 Thriller"
277,The 15:17 to Paris,12554286,3042,3042,36276286,0.346074182,1,Winter,30000000,"Warner Bros.
        
    ",Clint Eastwood,(None),PG-13,94,"Biography
 
 Drama
 
 Thriller"
278,Mile 22,13710825,3520,3520,36108758,0.379709128,1,Summer,50000000,"STX Entertainment
        
    ",(None),(None),R,94,"Action
 
 Thriller"
279,Alpha,10352512,2719,2881,35857181,0.288715167,0.943769524,Summer,51000000,"Studio 8
        
    ",(None),(None),PG-13,96,"Action
 
 Adventure
 
 Drama"
280,Peppermint,13423255,2980,2980,35418723,0.378987548,1,Fall,25000000,"STX Entertainment
        
    ",(None),(None),R,101,"Action
 
 Thriller"
281,The Favourite,4793882,795,1554,34366783,0.13949173,0.511583012,Holiday,15000000,"Fox Searchlight Pictures
        
    ",(None),(None),R,119,"Biography
 
 Comedy
 
 Drama
 
 History"
282,Death Wish,13010267,2847,2882,34017028,0.382463365,0.987855656,Spring,30000000,"Metro-Goldwyn-Mayer (MGM)
        
    ",(None),(None),R,107,"Action
 
 Crime
 
 Drama
 
 Thriller"
283,The Spy Who Dumped Me,12103043,3111,3111,33562069,0.360616713,1,Summer,40000000,"Lionsgate
        
    ",(None),(None),R,117,"Action
 
 Adventure
 
 Comedy"
284,Annihilation,11071584,2012,2112,32732301,0.338246431,0.952651515,Winter,40000000,"Paramount Pictures
        
    ",(None),(None),R,115,"Adventure
 
 Drama
 
 Horror
 
 Mystery
 
 Sci-Fi
 
 Thriller"
285,Isle of Dogs,7509674,1939,1947,32015231,0.234565667,0.995891115,Spring,35000000,"Fox Searchlight Pictures
        
    ",Wes Anderson,(None),PG-13,101,"Adventure
 
 Animation
 
 Comedy
 
 Drama
 
 Sci-Fi"
286,Nobody's Fool,13743111,2468,2468,31713110,0.433357403,1,Holiday,19000000,"Paramount Pictures
        
    ",(None),(None),R,110,"Comedy
 
 Drama
 
 Romance"
287,Adrift,11603039,3015,3015,31445012,0.36899458,1,Summer,35000000,"STX Entertainment
        
    ",(None),(None),PG-13,96,"Action
 
 Adventure
 
 Biography
 
 Drama
 
 Romance
 
 Thriller"
288,Robin Hood (2018),9195670,2827,2827,30824628,0.298322173,1,Holiday,100000000,"Lionsgate
        
    ",(None),(None),PG-13,116,"Action
 
 Adventure
 
 Drama
 
 Thriller"
289,Super Troopers 2,15181624,2038,2125,30617396,0.495849614,0.959058824,Spring,13500000,"Twentieth Century Fox
        
    ",(None),(None),R,100,"Comedy
 
 Crime
 
 Mystery"
